Filename,Content,Confidence,Status,Issues
021-Kamathipura_7th_Street.pdf,"अ)परशुराम पुपाला मार्ग(बाप्टी रोड)265 ते 285(मनिवि20)खंड-1, 2 ब)मोहम्मद ताहिर अंसारी मार्ग (अरब लेन)म्यु.घ.नं.16ए ते 22 (मनिवि20) खंड-3",83.0,ok,
022-Kamathipura_7th_Street.pdf,"अ) पठ्ठे बापुराव मार्ग (फॉकलंडरोड)म्यु.घ.नं.65 ते 83 डी(मनिवि20)खंड-7,2 ब)सुखलाजी मार्ग म्यु.घ.नं.32(मनिवि-28) खंड6",83.5,ok,
023-Kamathipura_7th_Street.pdf,"अ)परशुराम पुपाला मार्ग (बाप्टी रोड)म्यु.घ.नं.292 ते 388(मनिवि-28)खंड-2, 2ब)कामाठोपुरा 10वी गल्ली,5-45(मनिवि29)खंड-2, 3 क)कामाठीपुरा 12वी गल्ली,50-52(मनिवि29)खंड-2, 4 ड) 13वबी गल्ली 44-90(मनिवि-29)खंड-2, 5 इ)चंद्रमणी बुध्द बिहारमार्ग 3-5 (मनिवि29)खंड-2,",85.9,ok,
024-Kamathipura_7th_Street.pdf,"LETH पुपाला मार्ग 293 ते 395(मनिवि-20)खंड-3",80.0,ok,
025-Jehangir_Boman_Behram_Marg.pdf,"अ) जहांगीर बोमन बेहराम मार्ग 225-261 (मनिवि29)खंड3, 2 ब)वसांवा मार्ग, 3 ते 13,व 221 (मनिवि29) खंड 1, 3 क) कामाठीपुरा 15वी गल्ली,5ते32(मनिवि29) खंड-1, 4 ड)कामाठीपुरा 11वी गल्ली,म्यु.घ.नं.1-73(मनिवि29)खड-2, 5 इ)सुखलाजी स्ट्रीट,म्यु.घ.नं.31-45(मनिवि29)खंड-9, 6 फ़)चंद्रमणी बुध्दविहार मार्ग,(स्टेबल 0(मनिवि29)खंड-। ,",86.1,ok,
026-Jehangir_Boman_Behram_Marg.pdf,"अ)सुखलाजी स्ट्रीट,म्यु.घ.नं. 103 ते 153 (मनिवि29) खंड 7, 2ब)कामाठीपुरा 10at गल्ली,51ते67(मनिवि29) खंड-1, 3 क)कामाठीपुरा 13वी गल्ली,39ते91(मनिवि 29) खंड 1, 4 ड)कामाठीपुरा 14वी गल्ली,47ते73 ब शांती नगर झोपडपट्टी (मनिवि 29) खंड 3,",87.5,ok,
027-Jehangir_Boman_Behram_Marg.pdf,"अ)कामाठीपुरा 1 lat गल्लीम्यु.घ.नं.6ते68 (मनिवि29)खंड1, 2ब)कामाठीपुरा 14वी गल्ली,1ते45 (मनिवि29)खंड1",67.8,ok,
028-Jehangir_Boman_Behram_Marg.pdf,"अ)कामाठीपुरा 14बी गल्ली,2ते38(मनिवि 29) खंड 2,, 2ब)सुखलाजी मार्ग,77ए ते101ए(मनिवि29)खंड-8, 3 क) आर.एस.निमकर मार्ग,23ते31 (मनिवि29) खंड-6,",81.8,ok,
029-Kamathipura_7th_Street.pdf,"अ)कामाठीपुरा 7 बी गल्ली 4-72 (मनिवि-29) खंड, 2 ब)कामाठीपुरा 12बी गल्ली27-35 (मनिवि29)खंड-2, 3क)कामाठीपुरा 12 वी गल्ली 39-51 (मनिवि29)खंड-3, 4 ड)कामाठीपुरा 12 बी गल्ली 2 -46 (मनिवि29)खंड-4",85.1,ok,
030-Kamathipura_7th_Street.pdf,"अ)कामाठीपुरा 3री गल्ली 77-91ए (मनिवि29)खंड-1, 2 ब)कामाठीपुरा 10बी गल्ली 6-68 (मनिवि29)खंड-3, 3 क)कामाठीपुरा 13वी गल्ली 14-34 (मनिवि29)खंड-3",84.2,ok,
