filename,page,content,confidence
024-99-101_K._no_Ro.pdf,1,"अ) नंदलाल जानी रोड, ब) पी.डी.मेलो रोड-म्यु. घ.नं.20 ते 82, क) मुजावर पाखाडी रोड, उड) भांडुप स्ट्रीट, इ) मस्जिद ब्रिज,फ)पी.डिमेलो रोड- म्यु.घ.नं.27 ते 75,ग) पौी.डी.मेलो रोड-म्यु.घ.नं. 104 ते 118, ह) प्रिन्सेस अणि बिक्टोरिया डॉक आणि जबाहर बेट, आय) मेयलाट बंदर रोड.",89
025-44-46_Taunton_Pura_Street.pdf,1,"अ) हाजी नुर महमद अहमद मार्ग (दोन ताड स्ट्रीट )-म्यु.घ.नं.23 ते 67,ब) दोनताड क्रॉस लेन -म्यु.घ.नं.1 ते 23 व 2 ते 18, क)खडक स्ट्रीट-म्यु.घ.नं.11ते 39 व 2 ते 36.",93
026-44-46_Taunton_Pura_Street.pdf,1,"अ) झकेरीया मस्जिद स्ट्रीट-म्यु.घ.नं.121 ते 195 ब) इब्राहिम मोहम्मद मर्चंट रोड- म्यु.घ.नं.9 त 81 क) टनटनपुरा स्ट्रीट-म्यु.घ.नं.79 ते 95 आणि 90 ते 106.",89
027-44-46_Taunton_Pura_Street.pdf,1,"अ)ईस्त्राईल मोहल्ला-म्यु.घ.नं.3 ते 23 आणि 4 ते 30.ब) सॅम्युअल स्ट्रीट-म्यु.घ.नं.103 ते 193. आणि 136 ते 198.",90
028-44-46_Taunton_Pura_Street.pdf,1,"अ)केशवबजी नाईक मार्ग-म्यु.घ.नं.3 ते 29 आणि 4 ते 18, ब) काझी सय्यद स्ट्रीट-म्यु.घ.नं.7 ते19 व 12 ते 24.क )जिवराज भानजी शाह मार्ग -म्यु.घ.नं.1 ते 51,ड) नरशी नाथा स्ट्रीट -म्यु.घ .नं.191ते 233 आणि 182 ते 220, इ)युसुफ मेहरअली रोड-म्यु.घ.नं.56 ते 112.",89
029-Thana_Street.pdf,1,"अ) युसूफ मेहरअली रोड-म्यु.घ.नं.13 ते 15 फुटवरील झोपडपटटी, ब) संत तुकाराम रोड-म्यु.घ.नं.142 ते 254. क) संत तुकाराम रोड-म्यु.घ.नं.141 ते 143 व जय अंबे दुग्धालाय.",92
030-Thana_Street.pdf,1,"अ)युसुफ मेहर अली रोड(मस्जिद ब्रीज लो ले रोड) -जे बी शाह भाजी मार्केट, ब)देवजी रतनशी रोड (भडोच स्ट्रीट)-अन्नभवन जवळील झोपडपटटी ते राज चेम्बर्स च्या बाजुची झोपडपटटी, क)सुरत स्ट्रीट, ड)बडोदा स्ट्रीट-म्यु.घ.नं.22 ते 25 व गोडा ऊन नं.25-30 जबळील झोपडपटटी.",91
031-Thana_Street.pdf,1,"अ) इटोला पथ, ब) राष्ट्र संत तुकडोजी महाराज रोड,क)बाबुराव बोबडे मार्ग, ड)कर्नाक सायडींग रोड, ई)पी.डीमेलो रोड-म्यु.घ.नं.105 ते 117 फ)मस्जीद सायडींग रोड नं.2, ग)रुसेल स्ट्रीट.",91
032-95_Janjikar_Street.pdf,1,"अ)इसाजी स्ट्रीट-म्यु.घ.नं.5 ते 85 व 26 ते 88 ब)गरीबदास मार्ग-म्यु.घ.नं. 3-5 ते 16-18क)वीर विठ्ठलदास चंदन स्ट्रीट-17-21 ते 107-111व18 -20 ते 138-342, ड) चकाला क्रास लेन-म्यु.घ. नं.13 ते 129, ई) भंडारी क्रास लेन-म्यु.घ.नं.3-5 ते 106, फ)युसुफ मेहेरअली रोड-म्यु.घ.नं.63 ते 109 ग) कुंभारवाडा क्रॉस लेन-म्यु.घ.नं.2-10 ते 77, ह)सॅम्युअल स्ट्रीट-म्यु.घ.नं.203 ते 261.",88
033-95_Janjikar_Street.pdf,1,"अ)सॅम्युअल स्ट्रीट-म्यु.घ.नं.206 ते 370 व म्यु. घ.नं.263 ते 363 ब)शेरीफ देवजी स्ट्रीट-म्यु.घ.न 1 ते 125.",89
034-Raghunath_Maharaj_Street.pdf,1,"अ)नारायण कोळी मार्ग-म्यु.घ.नं.7 ते 29 व 111 ते 113, ब) बारदान स्ट्रीट-सवोदय ट्रान्सपोर्ट ते म्यु.घ.नं.20, क) शेठ अभेदचंद गांधी मार्ग-म्यु.घ. नं.27-35 ते 75.",88
035-Raghunath_Maharaj_Street.pdf,1,"रघुनाथ महाराज स्ट्रीट-म्यु.घ.नं.5 ते 58.",89
036-95_Janjikar_Street.pdf,1,"अ)जंजीकर स्ट्रीट-म्यु.घ.नं.1 ते 117, ब) काझी सय्यद स्ट्रीट-म्यु.घ.नं.27 ते 171, क) नरशीनाथा स्ट्रीट-म्यु.घ.नं.257 ते 403,ड) सैय्यद मुक्री स्ट्रीट -म्यु.घ.नं.3 ते 19, ई)काझी सय्यद स्ट्रीट -म्यु.घ. नं. 28 ते 208.",90
037-95_Janjikar_Street.pdf,1,"अ)जंजीकर स्ट्रीट-म्यु.घ.नं.4 ते 112,ब) डिसोझा क्रॉस लेन-म्यु.घ.नं.12 ते 113, क)लोकमान्य टिळक रोड-म्यु.घ.नं.6 ते 48.",92
038-Madhavrao_Rokde_Marg.pdf,1,"अ) दर्यास्थान स्ट्रीट-म्यु.घ.नं.11ते38, ब)नरशी नाथा स्ट्रीट-म्यु.घ.नं.222 ते 272 क)नरसीनाथा स्ट्रीट-म्यु.घ.नं.274 ते 421.",90
039-Madhavrao_Rokde_Marg.pdf,1,"ओल्ड बंगालीपुरा स्ट्रीट-म्यु.घ.नं.12 ते 14 व 51",89
040-Madhavrao_Rokde_Marg.pdf,1,"माधवराव रोकडे मार्ग-हिरामहल ते सिमेंट चाळ क्र.4",87
041-S_V_P_Road.pdf,1,"अ)एम.ए.सारंग मार्ग -म्यु.घ.नं.6 ते 52, ब)सरदार वल्लभभाई पटेल रोड-म्यु.घ.नं.151 ते 329.",87
042-S_V_P_Road.pdf,1,"अ) एम.ए सारंग मार्ग (ओल्ड नागपाडा रोड), ब) न्यु बंगालीपुरा स्ट्रीट.",93
043-259-269_S_V_P_Road.pdf,1,"अआअ)तांडेल स्ट्रीट क्रास लेन-म्यु.घ.नं.2 ते 33, ब) एम.ए.सारंग मार्ग-म्यु.घ.नं.3 ते 65,क) चिंचबंदर क्रॉस लेन-म्यु.घ.नं.2 ते 6.",87
044-259-269_S_V_P_Road.pdf,1,"अ)जीवराज भानजी शहा मार्ग-म्यु.घ.नं.52 ते 202, ब)इब्राहिम मोहम्मद मर्चंट रोड-म्यु.घ.नं. 16 ते 200, क)टनटनपुरा स्ट्रीट-म्यु.घ.नं.1ते 59 आणि 6 ते 40.",84
045-84_Samuel_Street.pdf,1,"अ) जिवराज भानजी शहा मार्ग-म्यु.घ.नं.99से195 ब) सॅम्युअल स्ट्रीट-म्यु.घ.नं.2 ते 92.",92
046-84_Samuel_Street.pdf,1,"अ)इब्राहीम रहिमतुल्ला रोड-म्यु.घ.नं.259ते 425ब)मोहमद अली रोड-म्यु.घ.नं.28 ते 38.",85
047-84_Samuel_Street.pdf,1,"अ)मोहम्मद उमर कोकीळ मार्ग-म्यु.घ.नं.1 ते 41 आणि 2 ते 42,ब)मोहम्मद उमर कोकीळ मार्ग-म्यु .घ.न.77 ते 229.",86
048-I_R_Road.pdf,1,"अ) हाजी नूरमहमद अहमद मार्ग (दोनताड स्ट्रीट- म्यु.घ.नं.11 ते 19 आणि 2 ते 18, ब) मोहम्मद उमर कोकीळ मार्ग-म्यु.घ.नं.86 ते 150.",92
049-M.U._Kokil_Marg.pdf,1,"अ)1ला मोहम्मद उमर कोकील मार्ग-म्यु.घ.नं.156 ते 246, ब)2रा मोहम्मद उमर कोकील मार्ग- म्यु. घ.नं.171व हुसैनी बिलिंग, क)तवा लेन-म्यु.घ.नं 11 ते 25 आणि 12 ते 26,ड) महमद अली रोड -्म्यु.घ.नं.54 ते 56, ई) अब्दुल रेहमान स्ट्रीट-म्यु. घ.न.9 ते 61,फ) इब्राहीम महमंद मर्चंट रोड-म्यु. घ.न.138 ते 208, ग)नागदेवी स्ट्रीट-म्यु.घ.नं.1 ते 23 अणि 2 ते 26.",88
050-M.U._Kokil_Marg.pdf,1,"नारायण धुरु स्ट्रीट-म्यु.घ.नं.57 ते 163 आणि 2 ते 160.",91
051-Narayan_Dhuru_Street.pdf,1,"अ) कोळसा स्ट्रीट-म्यु.घ.नं.7 ते 55, ब) कोळसा क्रॉस लेन-म्यु.घ.नं.6 ते 14,क)नारायण धुरू क्रॉस लेन-म्यु.घ.नं.11 ते 16, ड) मेमनवाडा क्रॉस लेन- म्यु.घ.नं.7, ई)युसुफ मेहरअली रोड -म्यु.घ .नं.264, फ)कांबेकर स्ट्रीट-म्यु.घ.नं.2 ते 46.",89
052-Narayan_Dhuru_Street.pdf,1,"अ) नाखुदा स्ट्रीट-म्यु.घ.नं.13 ते 59 आणि 22 ते 54, ब)झकेरीया मस्जिद स्ट्रीट-म्यु.घ.नं.1ते33 आणि 14 ते 50.",91
053-Narayan_Dhuru_Street.pdf,1,"कांबेकर स्ट्रीट-म्यु.घ.नं.48 ते 132.",91
054-131_Kambekar_Street.pdf,1,"कांबेकर स्ट्रीट - म्यु.घ.नं.13 ते 113.",91
055-131_Kambekar_Street.pdf,1,"कांबेकर स्ट्रीट-म्यु.घ.नं.117 ते 221 अणि138 ते 16.",88
056-131_Kambekar_Street.pdf,1,"मोहम्मद अली रोड-म्यु.घ.नं.3 ते 69.",92
057-131_Kambekar_Street.pdf,1,"अ) इब्राहीम रहिमतुल्ला रोड -म्यु.घ.नं.179, ब) मेमनवाडा रोड-म्यु.घ.नं.18 ते 84 अणि 67 ते 69, क) मेमनवाडा रोड-म्यु.घ.नं.75 ते 95, ड) युसुफ मेहरअली रोड-म्यु.घ.नं.188,ई)मेमनवाडा रोड-म्यु.घ.नं.65 ते 182.",90
058-178_Kambekar_Street.pdf,1,"मेमनवाडा रोड -म्यु.घ.नं.17 ते 63.",87
059-178_Kambekar_Street.pdf,1,"अ)धोबी स्ट्रीट-म्यु.घ.नं.2 ते 56, ब)भाजीपाला क्रॉस लेन-पत्राशेड व किसन दादा भाई बिल्डिंग क)युसुफ मेहरअली रोड-म्यु.घ.नं.149 ते 150 ड)शरीफ देवजी स्ट्रीट-म्यु.घ.नं.50 ते 196, इई)मोहम्मद अलीरोड-म्यु.घ.नं.71 ते 107.",88
060-178_Kambekar_Street.pdf,1,"झकेरिया मस्जिद स्ट्रीट-म्यु.घ.नं.25 ते97.",78
061-Kambekar_Street.pdf,1,"मिया अहमद छोटानी मार्ग-म्यु.घ.नं.6 ते 56 अणि 13 ते 43.",91
062-Kambekar_Street.pdf,1,"अ) झकेरिया मस्जिद स्ट्रीट-म्यु.घ.नं.30 ते 98 ब) झकेरिया मस्जिद स्ट्रीट-म्यु.घ.नं.99 ते 115,",92
063-Kambekar_Street.pdf,1,"अ)झकेरीया मस्जिद स्ट्रीट-म्यु.घ.नं. 104 ते 176 ब)जंजीकर स्ट्रीट-्म्यु.घ.नं.43 ते 66,क)नागदेवी स्ट्रीट-म्यु.घ.नं.33 ते 93 अणि 28 ते 104,ड) नागदेवी क्रॉस लेन, ई)बीबीजान स्ट्रीट-म्यु.घ.नं.15 ते 37 आणि 4 ते 52.",85
064-13-21_Sarang_Street.pdf,1,"नागदेवी स्ट्रीट-म्यु.घ.नं.130 ते 296.",87
065-13-21_Sarang_Street.pdf,1,"अ) नागदेवी स्ट्रीट- म्यु.घ.नं.127 ते 293, ब)पिंजारी स्ट्रीट-म्यु.घ.नं. 2 ते 138, क) बिबीजान स्ट्रीट-म्यु.घ.नं.1 ते 1अ.",91
066-13-21_Sarang_Street.pdf,1,"अ) अब्दुल रेहेमान स्ट्रीट-म्यु.घ.नं.75 ते 331, ब)युसुफ मेहरअली रोड-म्यु.घ.नं.253ते 261, क) लोकमान्य टिळक मार्ग-म्यु.घ.नं.92 ते 118, ड) शेख मोहम्मद अली अल्लाबक्ष रोड भाजीपाला स्ट्रीट)-म्यु.घ.नं.53 त 102.",91
067-13-21_Sarang_Street.pdf,1,"अ) मोहम्मद अली रोड-म्यु.घ.नं.74 ते 102, ब) सारंग स्ट्रीट-म्यु.घ.नं.2 ते 140.",92
068-13-21_Sarang_Street.pdf,1,"अ)मोहम्मद अली रोड-म्यु.घ.नं.58 ते?0, ब) सांरग स्ट्रीट-म्यु.घ.नं.21 ते 161.",87
069-Ramchandra_Bhatt_Marg.pdf,1,"रामचंद्र भट्ट मार्ग-म्यु.घ.नं.31 ते 225.",91
070-Ramchandra_Bhatt_Marg.pdf,1,"रामचंद्र भट्ट मार्ग-म्यु.घ.नं. 131ते 161.",82
071-Ramchandra_Bhatt_Marg.pdf,1,"अँड.आनंदराव नारायण सुर्वे मार्ग-म्यु.घ.नं.15 ते 108.",90
072-Ramchandra_Bhatt_Marg.pdf,1,"अ)आनंदराव नारायण सुर्वे मार्ग-म्यु.घ.नं.105 ते 125, ब)अँड.आनंदराव सुवे मार्ग-म्यु.घ.नं.74 ते 126, क)सामंतभाई नानजी मार्ग (उत्तर)-म्यु.घ.न 62ते104 ,ड)2रा बाळू चांगु पाटील रोड -म्यु.घ . नं.16 ते 23.",90
073-Ramchandra_Bhatt_Marg.pdf,1,"अ)अँड.आनंदराव नारायण सुर्वे मार्ग-प्रथमदर्शिनी ते अरूणोदय *ब', ब)अँडव्होकेट आनंदराव नारा यण सुर्वे मार्ग-अष्टविनायक *ब' ते अष्टविनायक 'अ.",76
