filename,page,content,confidence
BoothVoterList_A4_Ward_212_Booth_1.pdf,67,"यादी भाग क्र. ६६  : ७ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं., ४ केशवराव खाडये मार्ग," ,93
BoothVoterList_A4_Ward_212_Booth_1.pdf,68,"यादी भाग क्र. ६६  : १२ -म्यु.घ.नं.९१, मार्डन मिल कम्पाऊंड चाळ 71.9, केशवराव खाडये मार्ग," ,89
BoothVoterList_A4_Ward_212_Booth_1.pdf,69,"यादी भाग क्र. ६६  : १ -म्यु.घ.नं.३०७ अ, काशिनाथ बिल्डींग, संत गाडगेबाबा महाराज चौकाजवळ, साने" ,92
BoothVoterList_A4_Ward_212_Booth_1.pdf,70,"यादी भाग क्र. ६६  : ९ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं.६, केशवराव खाडये मार्ग," ,90
BoothVoterList_A4_Ward_212_Booth_1.pdf,71,"यादी भाग क्र. ६६  : ७ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं., ४ केशवराव खाडये मार्ग," ,93
BoothVoterList_A4_Ward_212_Booth_1.pdf,72,"यादी भाग क्र. ६६  : १२ -म्यु.घ.नं.९१, मार्डन मिल कम्पाऊंड चाळ 71.9, केशवराव खाडये मार्ग," ,89
BoothVoterList_A4_Ward_212_Booth_1.pdf,73,"यादी भाग क्र. ६६  : 24 -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ 4.2, केशवराव खाडये मार्ग," ,87
BoothVoterList_A4_Ward_212_Booth_1.pdf,74,"यादी भाग क्र. ६६  : १3 - वैशाली नगर, १०१, केशवराव खाडये मार्ग," ,87
BoothVoterList_A4_Ward_212_Booth_1.pdf,75,"यादी भाग क्र. ६६  : १७ - बेलआगिओ अपार्टमेंट, मौलाना आज़ाद रोड, जेकब सर्कल, मुंबई" ,90
BoothVoterList_A4_Ward_212_Booth_1.pdf,76,"यादी भाग क्र. ६६  : ७ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं., ४ केशवराव खाडये मार्ग," ,93
